PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,AST,REB,FG3M,STL,BLK,PTS+REB,PTS+AST,REB+AST,PTS+REB+AST
Marvin Bagley III,WAS,5,19.8,9.8,1.0,6.4,0.0,0.6,0.8,16.2,10.8,7.4,17.2
Aaron Wiggins,OKC,5,24.5,10.2,2.0,4.8,2.2,1.8,0.6,15.0,12.2,6.8,17.0
Cam Thomas,BKN,3,24.1,9.0,6.3,1.7,1.3,0.0,0.0,10.7,15.3,8.0,17.0
Jalen Green,PHX,1,19.9,12.0,3.0,2.0,2.0,0.0,0.0,14.0,15.0,5.0,17.0
Maxi Kleber,LAL,1,20.7,11.0,1.0,5.0,1.0,1.0,0.0,16.0,12.0,6.0,17.0
Jamal Shead,TOR,5,31.2,7.6,7.2,2.0,1.2,1.2,0.0,9.6,14.8,9.2,16.8
Ronald Holland II,DET,5,22.0,9.6,1.2,6.0,0.4,1.0,0.6,15.6,10.8,7.2,16.8
Davion Mitchell,MIA,3,21.0,7.3,5.3,4.0,1.3,1.3,0.3,11.3,12.6,9.3,16.6
Luke Kornet,SAS,5,21.1,8.2,1.8,6.2,0.0,0.8,1.4,14.4,10.0,8.0,16.2
Kevin Huerter,CHI,5,23.4,9.6,3.2,3.4,1.6,0.6,0.6,13.0,12.8,6.6,16.2
Toumani Camara,POR,5,33.7,10.8,1.6,3.8,1.4,0.4,0.8,14.6,12.4,5.4,16.2
Ausar Thompson,DET,5,25.1,7.2,2.8,6.2,0.0,2.4,1.4,13.4,10.0,9.0,16.2
Quentin Grimes,PHI,5,23.2,9.0,2.4,4.6,1.2,1.0,0.0,13.6,11.4,7.0,16.0
Daniel Gafford,DAL,1,17.9,6.0,0.0,10.0,0.0,0.0,0.0,16.0,6.0,10.0,16.0
Gradey Dick,TOR,5,20.9,10.0,1.2,4.8,1.2,0.2,0.0,14.8,11.2,6.0,16.0
Reed Sheppard,HOU,5,21.4,12.2,2.2,1.6,2.8,1.0,0.2,13.8,14.4,3.8,16.0
Walter Clayton Jr.,UTA,5,24.8,7.6,5.4,3.0,0.4,1.0,0.0,10.6,13.0,8.4,16.0
John Collins,LAC,3,26.7,12.3,0.7,3.0,2.3,0.3,0.3,15.3,13.0,3.7,16.0
Sam Merrill,CLE,3,21.0,12.3,1.3,2.3,3.0,1.0,0.0,14.6,13.6,3.6,15.9
Yves Missi,NOP,5,24.4,7.8,1.4,6.6,0.0,0.4,2.2,14.4,9.2,8.0,15.8
Paul Reed,DET,3,19.5,6.7,3.0,6.0,0.3,2.3,0.7,12.7,9.7,9.0,15.7
AJ Green,MIL,5,31.1,11.6,2.0,2.0,3.6,0.4,0.0,13.6,13.6,4.0,15.6
Aaron Nesmith,IND,4,32.1,7.8,1.5,6.3,1.0,0.8,0.8,14.1,9.3,7.8,15.6
Noah Penda,ORL,5,24.8,8.2,1.2,6.2,1.4,0.8,1.0,14.4,9.4,7.4,15.6
Jarace Walker,IND,5,22.6,9.8,2.0,3.8,2.0,0.4,0.6,13.6,11.8,5.8,15.6
Jake LaRavia,LAL,5,29.4,9.2,2.8,3.6,1.2,1.0,0.0,12.8,12.0,6.4,15.6
Maxime Raynaud,SAC,5,24.0,7.6,1.4,6.6,0.4,0.6,0.2,14.2,9.0,8.0,15.6
