PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,AST,REB,FG3M,STL,BLK,PTS+REB,PTS+AST,REB+AST,PTS+REB+AST
Nic Claxton,BKN,39,29.7,12.8,4.1,7.6,0.1,0.7,1.4,20.4,16.9,11.7,24.5
Derik Queen,NOP,44,26.0,12.6,4.3,7.5,0.2,1.0,0.9,20.1,16.9,11.8,24.4
Rudy Gobert,MIN,42,31.7,11.0,1.8,11.4,0.0,0.7,1.7,22.4,12.8,13.2,24.2
Jabari Smith Jr.,HOU,40,34.9,15.5,1.8,6.9,2.3,0.7,0.9,22.4,17.3,8.7,24.2
Donovan Clingan,POR,40,27.4,11.3,1.9,10.9,0.9,0.5,1.3,22.2,13.2,12.8,24.1
Anthony Black,ORL,42,30.6,15.9,4.0,4.1,1.6,1.3,0.6,20.0,19.9,8.1,24.0
P.J. Washington,DAL,31,31.4,14.6,1.9,7.4,1.3,1.0,1.4,22.0,16.5,9.3,23.9
Santi Aldama,MEM,41,28.0,14.0,3.0,6.7,1.6,0.9,0.7,20.7,17.0,9.7,23.7
Andrew Wiggins,MIA,40,31.6,15.9,2.8,4.9,1.9,1.2,1.0,20.8,18.7,7.7,23.6
Deandre Ayton,LAL,37,29.1,13.9,0.9,8.8,0.0,0.7,1.0,22.7,14.8,9.7,23.6
Jarrett Allen,CLE,32,26.7,13.5,2.1,7.9,0.0,1.0,0.8,21.4,15.6,10.0,23.5
OG Anunoby,NYK,33,32.8,15.8,2.2,5.5,1.9,1.7,0.7,21.3,18.0,7.7,23.5
Jalen Suggs,ORL,23,25.4,15.0,4.7,3.7,1.9,1.9,0.5,18.7,19.7,8.4,23.4
Cedric Coward,MEM,38,26.6,14.0,2.9,6.5,1.5,0.5,0.3,20.5,16.9,9.4,23.4
Naz Reid,MIN,44,26.2,14.5,2.4,6.2,2.4,0.9,0.8,20.7,16.9,8.6,23.1
Saddiq Bey,NOP,38,29.9,15.1,2.2,5.7,1.6,0.9,0.1,20.8,17.3,7.9,23.0
Grayson Allen,PHX,27,29.4,16.3,3.8,2.9,3.4,1.5,0.3,19.2,20.1,6.7,23.0
Jaden McDaniels,MIN,42,32.2,15.0,2.9,4.5,1.4,1.1,1.0,19.5,17.9,7.4,22.4
Wendell Carter Jr.,ORL,40,30.3,12.5,2.2,7.7,1.2,0.7,0.8,20.2,14.7,9.9,22.4
Obi Toppin,IND,3,27.4,14.0,1.7,6.7,1.0,1.0,0.0,20.7,15.7,8.4,22.4
Collin Gillespie,PHX,44,28.1,13.4,4.8,4.1,2.9,1.4,0.3,17.5,18.2,8.9,22.3
Keegan Murray,SAC,19,35.9,14.6,1.5,6.1,1.3,1.2,1.6,20.7,16.1,7.6,22.2
Cam Thomas,BKN,18,25.1,17.3,3.1,1.8,1.8,0.2,0.1,19.1,20.4,4.9,22.2
Donte DiVincenzo,MIN,44,31.8,13.2,4.3,4.6,3.0,1.3,0.5,17.8,17.5,8.9,22.1
Kel'el Ware,MIA,43,23.8,11.6,0.6,9.8,1.2,0.9,1.1,21.4,12.2,10.4,22.0
Matas Buzelis,CHI,43,27.9,15.0,1.9,5.1,1.8,0.7,1.4,20.1,16.9,7.0,22.0
Naji Marshall,DAL,44,28.9,14.2,2.9,4.7,0.9,1.1,0.1,18.9,17.1,7.6,21.8
Quentin Grimes,PHI,40,31.2,13.8,3.7,4.0,2.1,1.0,0.5,17.8,17.5,7.7,21.5
Mark Williams,PHX,39,24.0,12.2,1.0,8.3,0.0,1.1,1.0,20.5,13.2,9.3,21.5
Devin Vassell,SAS,32,31.9,15.0,2.4,4.0,2.7,0.9,0.5,19.0,17.4,6.4,21.4
Ajay Mitchell,OKC,42,26.3,14.0,3.7,3.5,1.1,1.4,0.3,17.5,17.7,7.2,21.2
Tre Jones,CHI,37,26.8,12.4,5.8,3.0,0.5,1.3,0.2,15.4,18.2,8.8,21.2
Collin Sexton,CHA,34,23.5,14.9,4.1,2.0,1.3,0.8,0.1,16.9,19.0,6.1,21.0
Dennis Schröder,SAC,34,26.5,12.4,5.5,3.1,1.4,0.8,0.1,15.5,17.9,8.6,21.0
Jaylon Tyson,CLE,39,27.4,13.5,2.1,5.4,2.0,1.0,0.5,18.9,15.6,7.5,21.0
Jeremiah Fears,NOP,45,26.5,13.9,3.2,3.7,1.0,1.2,0.2,17.6,17.1,6.9,20.8
Jonathan Kuminga,GSW,19,24.6,12.2,2.5,6.1,0.9,0.3,0.3,18.3,14.7,8.6,20.8
Tobias Harris,DET,26,27.4,13.7,2.5,4.6,1.3,0.8,0.3,18.3,16.2,7.1,20.8
Bobby Portis,MIL,42,23.3,13.1,1.3,6.4,2.0,0.5,0.2,19.5,14.4,7.7,20.8
Peyton Watson,DEN,42,29.7,14.0,1.8,5.0,1.4,1.0,1.0,19.0,15.8,6.8,20.8
Ayo Dosunmu,CHI,37,26.1,14.6,3.6,2.6,1.9,0.8,0.3,17.2,18.2,6.2,20.8
De'Andre Hunter,CLE,39,26.9,14.1,2.2,4.4,1.7,0.6,0.2,18.5,16.3,6.6,20.7
Keldon Johnson,SAS,44,23.8,13.3,1.3,6.1,1.3,0.7,0.1,19.4,14.6,7.4,20.7
Aaron Nesmith,IND,23,30.3,13.4,2.0,5.3,2.5,0.7,0.6,18.7,15.4,7.3,20.7
Toumani Camara,POR,44,33.8,12.9,2.6,5.0,2.5,1.0,0.5,17.9,15.5,7.6,20.5
Kelly Oubre Jr.,PHI,20,31.9,14.1,1.3,4.6,1.8,1.2,0.8,18.7,15.4,5.9,20.0
Brandin Podziemski,GSW,45,26.7,12.3,3.2,4.4,1.8,1.1,0.2,16.7,15.5,7.6,19.9
Cam Spencer,MEM,40,23.8,11.8,5.4,2.7,2.3,0.7,0.1,14.5,17.2,8.1,19.9
Draymond Green,GSW,37,26.8,8.8,5.2,5.8,1.5,0.8,0.7,14.6,14.0,11.0,19.8
Jordan Poole,NOP,26,25.8,15.0,3.1,1.7,2.7,0.7,0.3,16.7,18.1,4.8,19.8
Neemias Queta,BOS,40,24.8,10.2,1.4,8.2,0.0,0.9,1.2,18.4,11.6,9.6,19.8
Jakob Poeltl,TOR,21,25.3,9.7,2.1,7.7,0.0,0.8,0.5,17.4,11.8,9.8,19.5
Julian Champagnie,SAS,44,28.5,11.6,1.5,6.3,2.5,0.9,0.4,17.9,13.1,7.8,19.4
Ausar Thompson,DET,37,25.9,10.8,2.6,5.9,0.1,1.6,0.8,16.7,13.4,8.5,19.3
Jock Landale,MEM,39,22.8,11.3,1.7,6.3,1.1,0.5,0.5,17.6,13.0,8.0,19.3
Kyle Kuzma,MIL,40,26.0,12.6,2.2,4.5,0.9,0.7,0.5,17.1,14.8,6.7,19.3
Noah Clowney,BKN,41,28.6,13.2,1.9,4.1,2.1,0.8,0.8,17.3,15.1,6.0,19.2
Tari Eason,HOU,22,23.5,11.7,1.5,6.0,2.0,1.1,0.6,17.7,13.2,7.5,19.2
Myles Turner,MIL,41,28.3,12.2,1.6,5.3,2.2,0.6,1.5,17.5,13.8,6.9,19.1
John Collins,LAC,40,27.4,13.3,0.8,4.9,1.4,0.9,0.9,18.2,14.1,5.7,19.0
Anfernee Simons,BOS,42,24.2,14.0,2.5,2.4,2.6,0.5,0.1,16.4,16.5,4.9,18.9
Davion Mitchell,MIA,40,29.2,9.0,7.2,2.6,1.2,1.2,0.1,11.6,16.2,9.8,18.8
Reed Sheppard,HOU,41,25.0,13.0,3.2,2.6,2.5,1.4,0.5,15.6,16.2,5.8,18.8
Brandon Williams,DAL,38,22.0,12.1,3.7,2.8,0.5,1.1,0.2,14.9,15.8,6.5,18.6
Jalen Green,PHX,3,16.6,14.3,2.3,2.0,2.7,0.7,0.0,16.3,16.6,4.3,18.6
Max Christie,DAL,40,29.1,12.9,2.2,3.5,2.5,0.5,0.4,16.4,15.1,5.7,18.6
Sam Merrill,CLE,24,25.8,13.8,2.3,2.4,3.5,0.7,0.1,16.2,16.1,4.7,18.5
Royce O'Neale,PHX,44,29.3,10.5,2.9,5.0,2.9,1.2,0.3,15.5,13.4,7.9,18.4
Miles McBride,NYK,32,28.3,13.1,2.7,2.6,3.0,0.8,0.2,15.7,15.8,5.3,18.4
Bub Carrington,WAS,42,28.3,9.7,4.6,3.9,2.0,0.5,0.2,13.6,14.3,8.5,18.2
Moussa Diabaté,CHA,39,24.4,8.1,1.5,8.4,0.0,0.7,1.0,16.5,9.6,9.9,18.0
Maxime Raynaud,SAC,36,23.4,10.1,1.1,6.6,0.3,0.4,0.5,16.7,11.2,7.7,17.8
Isaiah Collier,UTA,36,23.2,8.9,6.6,2.3,0.5,0.8,0.3,11.2,15.5,8.9,17.8
Kevin Huerter,CHI,38,24.2,11.5,2.6,3.7,1.6,0.8,0.6,15.2,14.1,6.3,17.8
Jalen Smith,CHI,36,19.2,9.4,1.4,6.9,1.4,0.4,0.9,16.3,10.8,8.3,17.7
Cameron Johnson,DEN,28,30.6,11.7,2.4,3.6,1.9,0.6,0.3,15.3,14.1,6.0,17.7
Kyle Filipowski,UTA,43,22.5,9.4,2.1,6.2,0.8,0.7,0.5,15.6,11.5,8.3,17.7
Sandro Mamukelashvili,TOR,43,21.5,10.7,1.9,5.0,1.3,0.7,0.6,15.7,12.6,6.9,17.6
Tim Hardaway Jr.,DEN,43,27.4,13.9,1.4,2.3,2.8,0.5,0.2,16.2,15.3,3.7,17.6
Dylan Harper,SAS,34,21.5,10.6,3.6,3.2,0.6,0.9,0.2,13.8,14.2,6.8,17.4
Bilal Coulibaly,WAS,25,26.6,10.1,2.5,4.7,1.0,1.4,0.9,14.8,12.6,7.2,17.3
Tre Johnson,WAS,35,24.7,12.4,2.0,2.8,2.1,0.7,0.3,15.2,14.4,4.8,17.2
Marvin Bagley III,WAS,36,19.3,10.0,1.5,5.7,0.2,0.5,0.7,15.7,11.5,7.2,17.2
Khris Middleton,WAS,29,24.3,9.8,3.3,4.0,0.9,0.8,0.3,13.8,13.1,7.3,17.1
T.J. McConnell,IND,31,17.3,9.9,5.0,2.2,0.4,1.2,0.2,12.1,14.9,7.2,17.1
Luke Kornet,SAS,36,24.3,8.2,2.0,6.8,0.0,0.4,1.3,15.0,10.2,8.8,17.0
Andre Drummond,PHI,35,20.0,7.1,0.8,9.0,0.5,0.5,0.9,16.1,7.9,9.8,16.9
Jaylen Wells,MEM,41,27.1,11.7,1.7,3.5,1.7,0.9,0.1,15.2,13.4,5.2,16.9
Isaiah Stewart,DET,37,23.5,10.1,1.2,5.6,0.9,0.3,2.0,15.7,11.3,6.8,16.9
Zach Collins,CHI,10,18.4,9.7,1.5,5.6,0.9,0.2,0.4,15.3,11.2,7.1,16.8
Egor Dëmin,BKN,36,24.7,10.4,3.4,3.0,2.4,0.9,0.3,13.4,13.8,6.4,16.8
Duncan Robinson,DET,39,28.9,12.1,1.9,2.7,2.9,0.7,0.3,14.8,14.0,4.6,16.7
Day'Ron Sharpe,BKN,39,17.9,7.9,2.4,6.3,0.2,0.9,0.5,14.2,10.3,8.7,16.6
Vince Williams Jr.,MEM,27,21.7,7.7,4.7,4.2,1.3,0.8,0.5,11.9,12.4,8.9,16.6
D'Angelo Russell,DAL,26,19.0,10.2,4.0,2.3,1.3,0.5,0.1,12.5,14.2,6.3,16.5
Malik Monk,SAC,36,22.0,12.1,2.4,2.0,1.9,0.7,0.4,14.1,14.5,4.4,16.5
Caleb Love,POR,36,21.9,11.1,2.6,2.7,2.1,0.6,0.1,13.8,13.7,5.3,16.4
Rui Hachimura,LAL,32,30.7,12.0,0.8,3.5,1.7,0.6,0.3,15.5,12.8,4.3,16.3
Brice Sensabaugh,UTA,41,20.9,11.7,1.5,3.0,1.6,0.7,0.1,14.7,13.2,4.5,16.2
Christian Braun,DEN,14,28.9,9.5,2.5,4.2,0.5,0.6,0.4,13.7,12.0,6.7,16.2
Harrison Barnes,SAS,44,28.4,10.9,2.2,3.0,1.9,0.8,0.2,13.9,13.1,5.2,16.1
Steven Adams,HOU,32,22.8,5.8,1.5,8.6,0.0,0.7,0.6,14.4,7.3,10.1,15.9
Zaccharie Risacher,ATL,36,24.6,11.2,1.4,3.3,1.6,0.9,0.5,14.5,12.6,4.7,15.9
Jordan Goodwin,PHX,41,21.6,9.0,2.2,4.7,1.5,1.4,0.2,13.7,11.2,6.9,15.9
Klay Thompson,DAL,41,22.1,12.0,1.5,2.4,3.0,0.4,0.4,14.4,13.5,3.9,15.9
Marcus Smart,LAL,33,28.4,10.0,2.8,3.1,1.7,1.4,0.3,13.1,12.8,5.9,15.9
Jake LaRavia,LAL,42,27.3,9.5,2.0,4.2,1.2,1.3,0.4,13.7,11.5,6.2,15.7
Ryan Kalkbrenner,CHA,31,24.6,8.7,0.7,6.3,0.0,0.6,1.6,15.0,9.4,7.0,15.7
Pelle Larsson,MIA,36,23.0,9.5,3.2,2.9,0.9,0.6,0.2,12.4,12.7,6.1,15.6
Ace Bailey,UTA,37,24.3,10.5,1.6,3.4,1.4,0.7,0.4,13.9,12.1,5.0,15.5
Herbert Jones,NOP,23,28.3,9.5,2.3,3.7,1.4,1.7,0.3,13.2,11.8,6.0,15.5
Aaron Wiggins,OKC,31,23.2,10.4,1.7,3.4,1.8,0.8,0.6,13.8,12.1,5.1,15.5
De'Anthony Melton,GSW,19,20.7,10.7,2.0,2.7,1.4,1.4,0.5,13.4,12.7,4.7,15.4
Moses Moody,GSW,43,24.4,10.7,1.5,3.0,2.2,0.9,0.6,13.7,12.2,4.5,15.2
Jarace Walker,IND,44,23.1,9.0,1.9,4.3,1.5,0.6,0.4,13.3,10.9,6.2,15.2
Daniel Gafford,DAL,29,20.8,7.8,0.8,6.5,0.0,0.8,1.3,14.3,8.6,7.3,15.1
Mitchell Robinson,NYK,30,19.4,4.8,1.1,9.2,0.0,0.8,1.2,14.0,5.9,10.3,15.1
Terance Mann,BKN,37,25.8,7.8,3.8,3.4,0.9,0.8,0.3,11.2,11.6,7.2,15.0
AJ Green,MIL,39,29.5,10.4,2.0,2.6,3.0,0.6,0.1,13.0,12.4,4.6,15.0
Collin Murray-Boyles,TOR,37,21.5,7.8,2.0,5.1,0.4,0.9,0.7,12.9,9.8,7.1,14.9
Kevin Love,UTA,24,17.5,7.2,1.9,5.7,1.5,0.3,0.3,12.9,9.1,7.6,14.8
Dominick Barlow,PHI,32,24.2,8.2,1.3,5.1,0.4,0.9,0.7,13.3,9.5,6.4,14.6
Jamal Shead,TOR,45,22.1,7.2,5.6,1.8,1.2,1.0,0.1,9.0,12.8,7.4,14.6
Ryan Nembhard,DAL,31,20.6,7.5,5.2,1.9,1.0,0.2,0.0,9.4,12.7,7.1,14.6
Nikola Jović,MIA,33,18.9,8.2,2.7,3.7,1.1,0.7,0.4,11.9,10.9,6.4,14.6
Jonas Valančiūnas,DEN,33,13.3,8.5,1.2,4.7,0.1,0.2,0.6,13.2,9.7,5.9,14.4
Tristan da Silva,ORL,37,23.1,9.6,1.2,3.6,1.5,0.8,0.2,13.2,10.8,4.8,14.4
Precious Achiuwa,SAC,37,20.9,7.6,1.2,5.5,0.4,0.8,0.6,13.1,8.8,6.7,14.3
Kris Dunn,LAC,43,27.5,8.0,3.2,3.0,1.1,1.5,0.2,11.0,11.2,6.2,14.2
Derrick Jones Jr.,LAC,17,24.2,10.4,1.2,2.6,1.3,0.8,1.1,13.0,11.6,3.8,14.2
Ronald Holland II,DET,39,20.9,8.3,1.4,4.4,0.6,1.4,0.4,12.7,9.7,5.8,14.1
Jose Alvarado,NOP,35,22.2,7.9,3.3,2.8,1.6,1.0,0.1,10.7,11.2,6.1,14.0
Kyle Anderson,UTA,16,20.0,7.5,2.9,3.5,0.1,1.3,0.5,11.0,10.4,6.4,13.9
Jay Huff,IND,44,20.0,8.8,1.3,3.8,1.4,0.4,2.1,12.6,10.1,5.1,13.9
Danny Wolf,BKN,27,19.4,7.9,1.8,4.2,1.2,0.7,0.4,12.1,9.7,6.0,13.9
Justin Champagnie,WAS,40,18.5,7.2,1.0,5.7,0.6,0.8,0.6,12.9,8.2,6.7,13.9
Al Horford,GSW,25,19.3,7.0,2.0,4.8,1.6,0.8,1.0,11.8,9.0,6.8,13.8
